episode,episode_seed,return,epsilon,total_steps,visited_states,elapsed_sec,difficulty,wall_obstacles,max_steps,box_speed
1,0,-200.000000,0.999050,200,1,1.49,1,0,200,2
2,1,-200.000000,0.998100,400,1,3.11,1,0,200,2
3,2,-184.000000,0.997150,600,13,4.59,1,0,200,2
4,3,-200.000000,0.996200,800,13,6.03,1,0,200,2
5,4,-172.000000,0.995250,1000,32,7.26,1,0,200,2
6,5,-173.000000,0.994300,1200,49,8.60,1,0,200,2
7,6,-186.000000,0.993350,1400,51,10.02,1,0,200,2
8,7,-172.000000,0.992400,1600,55,11.36,1,0,200,2
9,8,-172.000000,0.991450,1800,59,12.74,1,0,200,2
10,9,-200.000000,0.990500,2000,59,14.12,1,0,200,2
11,10,-200.000000,0.989550,2200,59,15.65,1,0,200,2
12,11,-200.000000,0.988600,2400,59,17.09,1,0,200,2
13,12,-190.000000,0.987650,2600,59,18.47,1,0,200,2
14,13,-200.000000,0.986700,2800,59,19.88,1,0,200,2
15,14,-200.000000,0.985750,3000,59,21.35,1,0,200,2
16,15,-181.000000,0.984800,3200,59,22.71,1,0,200,2
17,16,-172.000000,0.983850,3400,62,24.05,1,0,200,2
18,17,-200.000000,0.982900,3600,62,25.41,1,0,200,2
19,18,-184.000000,0.981950,3800,62,26.82,1,0,200,2
20,19,-184.000000,0.981000,4000,62,28.20,1,0,200,2
