episode,episode_seed,return,epsilon,replay_size,total_steps,episode_updates,mean_loss,elapsed_sec,difficulty,wall_obstacles,max_steps,box_speed
1,61,-32587.000000,0.995250,1000,1000,0,,6.33,0,1,1000,2
2,62,-43971.000000,0.990500,2000,2000,1,1032.22631836,14.62,0,1,1000,2
3,63,-7968.000000,0.985750,3000,3000,1000,621.30292761,31.72,0,1,1000,2
4,64,-5367.000000,0.981000,4000,4000,1000,389.09386081,49.17,0,1,1000,2
5,65,-32372.000000,0.976250,5000,5000,1000,209.09116698,65.68,0,1,1000,2
6,66,-5870.000000,0.971500,6000,6000,1000,162.71020805,82.45,0,1,1000,2
7,67,-15185.000000,0.966750,7000,7000,1000,76.30643859,102.73,0,1,1000,2
8,68,-971.000000,0.962000,8000,8000,1000,70.84766143,124.07,0,1,1000,2
9,69,-13772.000000,0.957250,9000,9000,1000,19.49198522,146.52,0,1,1000,2
10,70,-15182.000000,0.952500,10000,10000,1000,16.52926032,168.20,0,1,1000,2
11,71,-976.000000,0.947750,11000,11000,1000,12.32039986,189.79,0,1,1000,2
12,72,-7167.000000,0.943000,12000,12000,1000,10.26398081,211.27,0,1,1000,2
13,73,-64368.000000,0.938250,13000,13000,1000,12.21606374,232.97,0,1,1000,2
14,74,-21168.000000,0.933500,14000,14000,1000,13.71509234,255.27,0,1,1000,2
15,75,-47970.000000,0.928750,15000,15000,1000,14.08006493,278.71,0,1,1000,2
16,76,-14367.000000,0.924000,16000,16000,1000,16.72090818,301.05,0,1,1000,2
17,77,-30572.000000,0.919250,17000,17000,1000,15.67369228,322.99,0,1,1000,2
18,78,-44167.000000,0.914500,18000,18000,1000,15.47394659,346.09,0,1,1000,2
19,79,-11173.000000,0.909750,19000,19000,1000,17.74688178,364.73,0,1,1000,2
20,80,-972.000000,0.905000,20000,20000,1000,16.68940123,382.22,0,1,1000,2
21,81,-972.000000,0.900250,21000,21000,1000,17.79258206,399.13,0,1,1000,2
