Checkpoint,Folder,Mean_L3,Std_L3
weights_ep0100.pth,.,-1433.000,2596.694
weights_ep0200.pth,.,-35095.800,66244.769
weights_ep0300.pth,.,-28096.600,47953.483
weights_ep0400.pth,.,-25030.800,51638.907
weights_ep0500.pth,.,-26284.700,56300.436
weights_ep0600.pth,.,-23838.600,43479.800
weights_ep0700.pth,.,-33181.100,59647.895
weights_ep0800.pth,.,-45882.100,75951.133
weights_ep0900.pth,.,-9316.200,25150.650
weights_ep1000.pth,.,-3797.400,8662.681
weights_interrupted.pth,.,-50359.100,77521.966
weights_ep0010.pth,archive_checkpoints,-652.000,879.143
weights_ep0020.pth,archive_checkpoints,-49132.500,76416.809
weights_ep0050.pth,archive_checkpoints,-96319.300,79977.964
weights_ep0100.pth,archive_checkpoints,-88718.400,80033.271
weights_ep0150.pth,archive_checkpoints,-50889.000,77815.636
weights_ep0200.pth,archive_checkpoints,-100459.100,83783.051
weights_ep0250.pth,archive_checkpoints,-104067.700,82662.203
weights_ep0300.pth,archive_checkpoints,-61615.600,68071.775
weights.pth,codabench_phase2_base,-654.300,879.910
weights_stage1_nowall.pth,curriculum_s61,-79958.900,83301.874
weights_stage1_nowall_ep0100.pth,curriculum_s61,-41417.900,77298.965
weights_stage1_nowall_ep0200.pth,curriculum_s61,-98466.700,94092.471
weights_stage1_nowall_ep0300.pth,curriculum_s61,-51138.500,80116.124
weights_stage1_nowall_ep0400.pth,curriculum_s61,-79958.900,83301.874
weights_stage2_wall.pth,curriculum_s61,-17389.000,50300.973
weights_stage2_wall_ep0100.pth,curriculum_s61,-110233.100,90804.798
weights_stage2_wall_ep0200.pth,curriculum_s61,-2492.700,5661.992
weights_stage2_wall_ep0300.pth,curriculum_s61,-111697.600,76582.068
weights_stage2_wall_ep0400.pth,curriculum_s61,-17389.000,50300.973
weights.pth,final_phase2_base,-654.300,879.910
weights.pth,final_s46_ep1600,-29415.500,58031.240
weights_ep0050.pth,last_try_s46_continue,-26897.800,51216.790
weights_ep0100.pth,last_try_s46_continue,-656.900,880.832
weights_ep0150.pth,last_try_s46_continue,-63963.600,80986.879
weights_ep0200.pth,last_try_s46_continue,-7821.200,21608.732
weights_ep0250.pth,last_try_s46_continue,-654.000,879.901
weights_ep0300.pth,last_try_s46_continue,-652.200,879.216
weights_ep0350.pth,last_try_s46_continue,-658.200,881.180
weights_ep0400.pth,last_try_s46_continue,-130404.100,82948.789
weights_ep0450.pth,last_try_s46_continue,-138313.700,78385.729
weights_ep0500.pth,last_try_s46_continue,-651.700,880.714
weights_ep0550.pth,last_try_s46_continue,-652.000,879.143
weights_ep0600.pth,last_try_s46_continue,-651.700,880.714
weights_ep0650.pth,last_try_s46_continue,-652.500,879.268
weights_ep0700.pth,last_try_s46_continue,-651.700,880.714
weights_ep0750.pth,last_try_s46_continue,-655.500,880.379
weights_ep0800.pth,last_try_s46_continue,-661.900,882.338
weights_ep0850.pth,last_try_s46_continue,-168211.500,56431.133
weights_ep0900.pth,last_try_s46_continue,-651.500,880.641
weights_ep0950.pth,last_try_s46_continue,-651.500,878.958
weights_ep1000.pth,last_try_s46_continue,-111344.000,82358.020
