episode,episode_seed,return,epsilon,replay_size,total_steps,episode_updates,mean_loss,elapsed_sec,difficulty,wall_obstacles,max_steps,box_speed
1,0,-2841.000000,0.981000,1000,1000,0,,17.25,3,1,1000,2
2,1,1811.000000,0.962000,2000,2000,1,95.63114166,33.58,3,1,1000,2
3,2,-6692.000000,0.943000,3000,3000,1000,61.70537989,62.51,3,1,1000,2
4,3,-2439.000000,0.924000,4000,4000,1000,106.96788237,89.62,3,1,1000,2
5,4,540.000000,0.920314,4194,4194,194,123.40985485,95.12,3,1,1000,2
6,5,-2234.000000,0.901314,5194,5194,1000,135.44584823,123.25,3,1,1000,2
7,6,-4821.000000,0.882314,6194,6194,1000,149.16080095,150.29,3,1,1000,2
8,7,-5312.000000,0.873593,6653,6653,459,136.86285006,162.41,3,1,1000,2
9,8,-385.000000,0.866506,7026,7026,373,150.66515932,172.19,3,1,1000,2
10,9,-11761.000000,0.847506,8026,8026,1000,158.28260604,200.33,3,1,1000,2
11,10,-14249.000000,0.828506,9026,9026,1000,146.39343542,234.29,3,1,1000,2
12,11,-6548.000000,0.809506,10026,10026,1000,161.30147138,262.06,3,1,1000,2
13,12,-11859.000000,0.790506,11026,11026,1000,117.25531675,288.70,3,1,1000,2
14,13,-11866.000000,0.771506,12026,12026,1000,123.18733602,316.45,3,1,1000,2
15,14,-10081.000000,0.752506,13026,13026,1000,98.38477464,345.56,3,1,1000,2
16,15,-13472.000000,0.733506,14026,14026,1000,101.74926334,376.92,3,1,1000,2
17,16,-11044.000000,0.714506,15026,15026,1000,82.27630443,407.46,3,1,1000,2
18,17,-13880.000000,0.695506,16026,16026,1000,80.27862845,434.32,3,1,1000,2
19,18,-4808.000000,0.676506,17026,17026,1000,59.02330521,460.09,3,1,1000,2
20,19,-114.000000,0.663814,17694,17694,668,56.08267933,477.46,3,1,1000,2
21,20,-5841.000000,0.644814,18694,18694,1000,42.82984283,502.43,3,1,1000,2
22,21,-4761.000000,0.625814,19694,19694,1000,37.17918543,530.25,3,1,1000,2
23,22,-18816.000000,0.606814,20694,20694,1000,27.57045508,557.21,3,1,1000,2
24,23,-6263.000000,0.587814,21694,21694,1000,22.22227733,584.40,3,1,1000,2
25,24,-10198.000000,0.568814,22694,22694,1000,18.49002239,611.57,3,1,1000,2
26,25,-16591.000000,0.549814,23694,23694,1000,15.99684235,640.48,3,1,1000,2
27,26,657.000000,0.533094,24574,24574,880,14.66188997,665.26,3,1,1000,2
28,27,-3330.000000,0.519376,25296,25296,722,13.52603190,685.51,3,1,1000,2
29,28,-2181.000000,0.510864,25744,25744,448,13.49658908,699.38,3,1,1000,2
30,29,-17300.000000,0.491864,26744,26744,1000,13.53121631,728.59,3,1,1000,2
31,30,3911.000000,0.482668,27228,27228,484,13.35583704,742.01,3,1,1000,2
32,31,-6192.000000,0.463668,28228,28228,1000,13.39491543,769.46,3,1,1000,2
33,32,-30904.000000,0.444668,29228,29228,1000,13.58471458,798.40,3,1,1000,2
34,33,-6127.000000,0.425668,30228,30228,1000,13.68094478,825.00,3,1,1000,2
35,34,-30316.000000,0.406668,31228,31228,1000,14.35974281,852.12,3,1,1000,2
36,35,-8807.000000,0.387668,32228,32228,1000,15.21865653,883.04,3,1,1000,2
37,36,-22583.000000,0.368668,33228,33228,1000,16.35785132,909.32,3,1,1000,2
38,37,-37679.000000,0.349668,34228,34228,1000,16.68374378,936.16,3,1,1000,2
39,38,-19784.000000,0.330668,35228,35228,1000,17.73449721,966.71,3,1,1000,2
40,39,-7151.000000,0.311668,36228,36228,1000,18.31090674,999.74,3,1,1000,2
41,40,-20850.000000,0.292668,37228,37228,1000,19.03625711,1031.57,3,1,1000,2
42,41,2809.000000,0.290483,37343,37343,115,19.55234275,1035.04,3,1,1000,2
43,42,-9371.000000,0.271483,38343,38343,1000,20.12388688,1064.42,3,1,1000,2
44,43,-23118.000000,0.252483,39343,39343,1000,21.74438555,1092.86,3,1,1000,2
